Batter,Venue,total_runs,balls_faced,strike_rate
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,28,17,164.70588235294116
A Ashish Reddy,Eden Gardens,4,5,80.0
A Ashish Reddy,Feroz Shah Kotla,16,9,177.77777777777777
A Ashish Reddy,M Chinnaswamy Stadium,35,22,159.0909090909091
A Ashish Reddy,MA Chidambaram Stadium,39,19,205.26315789473685
A Ashish Reddy,Maharashtra Cricket Association Stadium,19,15,126.66666666666666
A Ashish Reddy,Punjab Cricket Association Stadium,22,8,275.0
A Ashish Reddy,Rajiv Gandhi International Stadium,79,65,121.53846153846153
A Ashish Reddy,Sawai Mansingh Stadium,14,11,127.27272727272727
A Ashish Reddy,Wankhede Stadium,10,10,100.0
A Badoni,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,35,30,116.66666666666667
A Badoni,Brabourne Stadium,19,10,190.0
A Badoni,Dr DY Patil Sports Academy,42,28,150.0
A Badoni,Eden Gardens,25,21,119.04761904761905
A Badoni,M Chinnaswamy Stadium,30,24,125.0
A Badoni,MA Chidambaram Stadium,24,25,96.0
A Badoni,Maharashtra Cricket Association Stadium,27,33,81.81818181818183
A Badoni,Narendra Modi Stadium,21,11,190.9090909090909
A Badoni,Punjab Cricket Association IS Bindra Stadium,43,23,186.95652173913044
A Badoni,Sawai Mansingh Stadium,1,4,25.0
A Badoni,Wankhede Stadium,73,59,123.72881355932203
A Chandila,M Chinnaswamy Stadium,4,6,66.66666666666666
A Chandila,Rajiv Gandhi International Stadium,0,1,0.0
A Chopra,Eden Gardens,17,25,68.0
A Chopra,Newlands,11,19,57.89473684210527
A Chopra,Rajiv Gandhi International Stadium,24,23,104.34782608695652
A Chopra,Wankhede Stadium,1,4,25.0
A Choudhary,M Chinnaswamy Stadium,19,18,105.55555555555556
A Choudhary,Rajiv Gandhi International Stadium,6,2,300.0
A Dananjaya,Wankhede Stadium,4,5,80.0
A Flintoff,Kingsmead,16,17,94.11764705882352
A Flintoff,Newlands,24,23,104.34782608695652
A Flintoff,St George's Park,22,13,169.23076923076923
A Kumble,Dr DY Patil Sports Academy,1,2,50.0
A Kumble,Feroz Shah Kotla,1,1,100.0
A Kumble,Kingsmead,6,6,100.0
A Kumble,M Chinnaswamy Stadium,5,11,45.45454545454545
A Kumble,MA Chidambaram Stadium,2,1,200.0
A Kumble,New Wanderers Stadium,1,1,100.0
A Kumble,Newlands,1,1,100.0
A Kumble,Punjab Cricket Association Stadium,0,1,0.0
A Kumble,Sawai Mansingh Stadium,8,8,100.0
A Kumble,St George's Park,8,11,72.72727272727273
A Kumble,Vidarbha Cricket Association Stadium,2,4,50.0
A Manohar,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,5,60.0
A Manohar,Dr DY Patil Sports Academy,80,53,150.9433962264151
A Manohar,Maharashtra Cricket Association Stadium,13,14,92.85714285714286
A Manohar,Narendra Modi Stadium,109,75,145.33333333333334
A Manohar,Wankhede Stadium,17,11,154.54545454545453
A Mishra,Arun Jaitley Stadium,7,10,70.0
A Mishra,Barabati Stadium,1,2,50.0
A Mishra,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,19,30,63.33333333333333
A Mishra,Brabourne Stadium,13,19,68.42105263157895
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,12,66.66666666666666
A Mishra,Eden Gardens,51,53,96.22641509433963
A Mishra,Feroz Shah Kotla,77,78,98.71794871794873
A Mishra,Green Park,8,2,400.0
A Mishra,Kingsmead,2,3,66.66666666666666
A Mishra,M.Chinnaswamy Stadium,8,14,57.14285714285714
A Mishra,MA Chidambaram Stadium,29,41,70.73170731707317
A Mishra,Maharashtra Cricket Association Stadium,30,24,125.0
A Mishra,Nehru Stadium,0,1,0.0
A Mishra,New Wanderers Stadium,11,8,137.5
A Mishra,Punjab Cricket Association IS Bindra Stadium,4,9,44.44444444444444
A Mishra,Rajiv Gandhi International Stadium,50,45,111.11111111111111
A Mishra,Sardar Patel Stadium,0,2,0.0
A Mishra,Sawai Mansingh Stadium,25,33,75.75757575757575
A Mishra,Sharjah Cricket Stadium,4,5,80.0
A Mishra,SuperSport Park,13,9,144.44444444444443
A Mishra,Wankhede Stadium,21,17,123.52941176470588
A Mithun,Feroz Shah Kotla,5,6,83.33333333333334
A Mithun,Himachal Pradesh Cricket Association Stadium,10,7,142.85714285714286
A Mithun,JSCA International Stadium Complex,2,2,100.0
A Mithun,M Chinnaswamy Stadium,6,3,200.0
A Mithun,MA Chidambaram Stadium,11,8,137.5
A Mukund,MA Chidambaram Stadium,0,1,0.0
A Mukund,Sawai Mansingh Stadium,19,21,90.47619047619048
A Nehra,Eden Gardens,1,5,20.0
A Nehra,Feroz Shah Kotla,23,19,121.05263157894737
A Nehra,M Chinnaswamy Stadium,0,1,0.0
A Nehra,MA Chidambaram Stadium,1,4,25.0
A Nehra,OUTsurance Oval,1,1,100.0
A Nehra,Punjab Cricket Association Stadium,4,13,30.76923076923077
A Nehra,Rajiv Gandhi International Stadium,1,2,50.0
A Nehra,Sawai Mansingh Stadium,9,8,112.5
A Nehra,Wankhede Stadium,1,7,14.285714285714285
A Nortje,Arun Jaitley Stadium,9,6,150.0
A Nortje,Barsapara Cricket Stadium,0,1,0.0
A Nortje,Dr DY Patil Sports Academy,1,6,16.666666666666664
A Nortje,Dubai International Cricket Stadium,1,3,33.33333333333333
A Nortje,M Chinnaswamy Stadium,23,14,164.28571428571428
A Nortje,Narendra Modi Stadium,3,6,50.0
A Nortje,Rajiv Gandhi International Stadium,2,2,100.0
A Nortje,Sheikh Zayed Stadium,3,2,150.0
A Singh,Eden Gardens,0,2,0.0
A Singh,Kingsmead,1,2,50.0
A Singh,OUTsurance Oval,0,1,0.0
A Singh,Sawai Mansingh Stadium,1,2,50.0
A Singh,Wankhede Stadium,0,2,0.0
A Symonds,Barabati Stadium,88,62,141.93548387096774
A Symonds,Brabourne Stadium,21,18,116.66666666666667
A Symonds,De Beers Diamond Oval,90,54,166.66666666666669
A Symonds,Dr DY Patil Sports Academy,34,48,70.83333333333334
A Symonds,Eden Gardens,77,76,101.3157894736842
A Symonds,Feroz Shah Kotla,54,30,180.0
A Symonds,Himachal Pradesh Cricket Association Stadium,4,6,66.66666666666666
A Symonds,Kingsmead,41,22,186.36363636363635
A Symonds,M Chinnaswamy Stadium,53,24,220.83333333333334
A Symonds,MA Chidambaram Stadium,50,43,116.27906976744187
A Symonds,New Wanderers Stadium,76,57,133.33333333333331
A Symonds,Punjab Cricket Association Stadium,8,6,133.33333333333331
A Symonds,Rajiv Gandhi International Stadium,173,98,176.53061224489795
A Symonds,Sardar Patel Stadium,22,14,157.14285714285714
A Symonds,Sawai Mansingh Stadium,17,26,65.38461538461539
A Symonds,SuperSport Park,42,30,140.0
